iter	Passed	Remaining
0	86	25912
1	103	15481
2	120	11914
3	136	10125
4	153	9064
5	170	8339
6	187	7848
7	204	7465
8	221	7151
9	238	6902
10	254	6687
11	271	6521
12	288	6374
13	305	6243
14	326	6210
15	343	6100
16	360	6000
17	376	5901
18	393	5821
19	414	5796
20	433	5755
21	452	5719
22	471	5678
23	489	5623
24	506	5574
25	524	5523
26	541	5479
27	559	5437
28	577	5397
29	595	5360
30	614	5330
31	632	5293
32	650	5260
33	667	5221
34	685	5188
35	712	5225
36	730	5189
37	747	5154
38	764	5119
39	783	5090
40	800	5058
41	818	5028
42	836	4999
43	862	5017
44	880	4989
45	904	4996
46	933	5024
47	960	5042
48	994	5095
49	1051	5259
50	1110	5423
51	1139	5434
52	1165	5429
53	1183	5390
54	1203	5360
55	1221	5321
56	1240	5290
57	1258	5249
58	1275	5209
59	1292	5171
60	1310	5135
61	1328	5100
62	1348	5071
63	1365	5036
64	1383	5002
65	1401	4967
66	1418	4932
67	1435	4899
68	1453	4866
69	1471	4833
70	1489	4803
71	1515	4797
72	1538	4783
73	1559	4762
74	1581	4743
75	1601	4719
76	1618	4686
77	1635	4656
78	1652	4622
79	1669	4590
80	1685	4557
81	1702	4525
82	1718	4492
83	1734	4461
84	1751	4430
85	1771	4407
86	1787	4377
87	1804	4347
88	1821	4318
89	1838	4288
90	1855	4262
91	1875	4240
92	1895	4219
93	1912	4191
94	1928	4162
95	1946	4136
96	1963	4109
97	1980	4081
98	1996	4053
99	2012	4025
100	2029	3998
101	2045	3971
102	2066	3951
103	2084	3927
104	2100	3900
105	2117	3875
106	2133	3848
107	2150	3822
108	2166	3796
109	2183	3770
110	2200	3746
111	2216	3720
112	2233	3695
113	2250	3672
114	2272	3656
115	2289	3631
116	2306	3607
117	2322	3582
118	2339	3558
119	2359	3538
120	2380	3522
121	2397	3498
122	2414	3474
123	2430	3450
124	2448	3427
125	2465	3404
126	2481	3380
127	2498	3356
128	2514	3333
129	2530	3309
130	2547	3286
131	2564	3263
132	2581	3241
133	2599	3220
134	2618	3200
135	2634	3177
136	2651	3154
137	2673	3138
138	2690	3116
139	2707	3093
140	2723	3071
141	2740	3049
142	2757	3027
143	2774	3005
144	2792	2984
145	2809	2963
146	2825	2940
147	2843	2920
148	2860	2898
149	2876	2876
150	2894	2856
151	2911	2834
152	2927	2812
153	2943	2790
154	2959	2768
155	2976	2747
156	2993	2726
157	3010	2705
158	3026	2684
159	3049	2668
160	3065	2646
161	3082	2625
162	3099	2604
163	3115	2583
164	3132	2562
165	3149	2542
166	3165	2521
167	3183	2501
168	3199	2480
169	3216	2459
170	3232	2438
171	3249	2418
172	3265	2397
173	3282	2377
174	3298	2356
175	3316	2336
176	3333	2316
177	3349	2295
178	3366	2275
179	3384	2256
180	3400	2236
181	3417	2216
182	3438	2198
183	3455	2178
184	3471	2158
185	3488	2138
186	3505	2118
187	3521	2098
188	3538	2078
189	3554	2058
190	3571	2038
191	3587	2018
192	3604	1998
193	3620	1978
194	3638	1959
195	3658	1941
196	3676	1921
197	3692	1901
198	3708	1882
199	3725	1862
200	3741	1842
201	3758	1823
202	3774	1803
203	3791	1784
204	3811	1766
205	3828	1747
206	3846	1728
207	3863	1709
208	3880	1689
209	3897	1670
210	3914	1651
211	3931	1631
212	3950	1613
213	3966	1594
214	3982	1574
215	3999	1555
216	4015	1535
217	4033	1517
218	4049	1497
219	4066	1478
220	4082	1459
221	4099	1440
222	4116	1421
223	4132	1402
224	4151	1383
225	4168	1365
226	4186	1346
227	4207	1328
228	4224	1309
229	4242	1291
230	4259	1272
231	4276	1253
232	4294	1234
233	4312	1216
234	4331	1197
235	4348	1179
236	4367	1160
237	4384	1142
238	4402	1123
239	4420	1105
240	4438	1086
241	4456	1068
242	4476	1049
243	4501	1033
244	4530	1016
245	4557	1000
246	4589	984
247	4615	967
248	4641	950
249	4670	934
250	4696	916
251	4718	898
252	4738	880
253	4756	861
254	4775	842
255	4794	824
256	4814	805
257	4833	786
258	4852	768
259	4870	749
260	4889	730
261	4908	711
262	4928	693
263	4947	674
264	4971	656
265	4991	638
266	5011	619
267	5033	600
268	5052	582
269	5072	563
270	5092	544
271	5112	526
272	5132	507
273	5151	488
274	5170	470
275	5195	451
276	5220	433
277	5250	415
278	5272	396
279	5291	377
280	5310	359
281	5329	340
282	5364	322
283	5387	303
284	5422	285
285	5451	266
286	5477	248
287	5503	229
288	5536	210
289	5567	191
290	5587	172
291	5610	153
292	5676	135
293	5704	116
294	5730	97
295	5762	77
296	5786	58
297	5809	38
298	5832	19
299	5855	0
